username,habit_type,content,extra_field,date
sumithra_m,Journaling,somthings that i saw today was really awsome,,2026-03-17
sumithra_m,Reading,its about a good love story,2 states,2026-03-17
sumithra_m,Learning,Q1: stores a value | Q2: writes in output whatever we say,Python - 15 min,2026-03-17
sumithra_m,Journaling,today i had a wonderfull day with my frnd,,2026-03-17
sumithra_m,Journaling,Today was a wonderful day that i spend with my friends.,,2026-03-18
sumithra_m,Reading,It's about a love story of two different religion,2 states,2026-03-18
sumithra_m,Learning,Q1: object oriented programming | Q2: it is like a blueprint,Java - 30 min,2026-03-18
sumithra_m,Journaling,i have such an wonderfull day with my friends,,2026-03-20
sumithra_m,Learning,Q1: object oriented program | Q2: it is like a blueprint,Java - 30 min,2026-03-20
vibisha,Journaling,I spend such a nice evening today with my family,,2026-03-22
sumithra_m,Reading,its about a love marriage,2 states,2026-03-22
sumithra_m,Learning,Q1: object oriented programming | Q2: blue print,Java - 15 min,2026-03-22
sumithra_m,Journaling,I'm feeling strong and brave today.,,2026-03-23
